cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_00_00,20.5,88.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_01,20.5,89.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_02,20.5,90.5,5.0,1y,1.0,0,51.859,0.0,0.0,0.0,9e-06,0.047284,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_00_03,20.5,91.5,5.0,1y,1.0,1,51.859,0.019283,0.019283,0.019098,0.002078,0.086191,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_04,20.5,92.5,5.0,1y,1.0,2,51.859,0.038566,0.038566,0.037832,0.007982,0.116378,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_05,20.5,93.5,5.0,1y,1.0,4,51.859,0.077133,0.077133,0.074233,0.0257,0.167573,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_00_06,20.5,94.5,5.0,1y,1.0,12,51.859,0.231398,0.231398,0.206577,0.118821,0.324226,False,
cell_00_07,20.5,95.5,5.0,1y,1.0,3,51.859,0.05785,0.05785,0.056208,0.016161,0.143061,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_00,21.5,88.5,5.0,1y,1.0,1,51.859,0.019283,0.019283,0.019098,0.002078,0.086191,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_01,21.5,89.5,5.0,1y,1.0,3,51.859,0.05785,0.05785,0.056208,0.016161,0.143061,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
